id,horizon,mean_relative_mse,mean_mse,median_mse,q90_mse,median_relative_mse,q90_relative_mse,best_relative_mse
adam_N512_s0_individual_mixed_fddf9c599180,100000,5.364391135612129e-06,5.364391135612128e-06,4.550568902298145e-06,7.602827797371188e-06,4.550568902298146e-06,7.602827797371189e-06,3.462187260253535e-06
adam_N512_s1_collective_moment9_40d00f899d33,100000,5.525905965136626e-06,5.526239345488673e-06,3.268048913113882e-07,1.590818178964986e-05,3.2678517621710714e-07,1.5907222099901745e-05,1.704088580202003e-07
adam_N1024_s2_individual_moment9_df1ee0a122c8,100000,5.548530711303734e-06,5.548865456616729e-06,1.5051398087424518e-07,1.6387877671919673e-05,1.5050490084697981e-07,1.6386889043652596e-05,8.428233387486543e-08
adam_N128_s1_individual_moment9_7f2e81f38f72,100000,5.5888250159476405e-06,5.589162192233865e-06,1.204665099325961e-06,1.4565652387074006e-05,1.2045924257318937e-06,1.4564773687832621e-05,9.85650091525801e-07
gd_N1024_s0_neighbor_sine_debd90f28bc9,100000,5.775942012437836e-06,5.775942012437836e-06,5.7485827278242054e-06,6.263560725435974e-06,5.7485827278242054e-06,6.263560725435974e-06,5.20657610609147e-06
gd_N1024_s0_collective_sine_1f988d25fc20,100000,5.837056137495467e-06,5.837056137495467e-06,5.76585771810322e-06,6.689016559818108e-06,5.76585771810322e-06,6.689016559818108e-06,4.87602438704137e-06
gd_N1024_s1_collective_sine_3516bb28e39e,100000,5.907906567320641e-06,5.907906567320641e-06,5.828222938928063e-06,6.791060577384768e-06,5.828222938928063e-06,6.791060577384768e-06,4.920062158457896e-06
adam_N512_s4_neighbor_moment9_cae0b8cd0f2c,100000,5.933653227308137e-06,5.9340112072329366e-06,1.419510042288572e-07,1.7600616447389334e-05,1.419424407785966e-07,1.7599554658469123e-05,1.107180517555108e-08
adam_N1024_s1_collective_mixed_0b98424f7e4c,100000,5.953972196612472e-06,5.953972196612471e-06,1.160367930669834e-06,1.4877335492207425e-05,1.1603679306698341e-06,1.4877335492207427e-05,2.0892011231692795e-09
gd_N512_s2_neighbor_moment3_cdf64eaeb1a7,100000,5.992012133616548e-06,5.9920325740973615e-06,5.787024279564462e-06,6.620848866154107e-06,5.787004538423655e-06,6.6208262806069565e-06,5.287423551002431e-06
adam_N128_s0_neighbor_mixed_3f3f642150a9,100000,6.0357842690523275e-06,6.035784269052327e-06,1.7488927128257723e-06,1.4644691640877125e-05,1.7488927128257728e-06,1.4644691640877126e-05,9.98912815966354e-07
gd_N512_s3_neighbor_moment3_77d14159b807,100000,6.165238500026441e-06,6.165259531432332e-06,6.119445419132038e-06,6.709324596866425e-06,6.119424544010759e-06,6.709301709504081e-06,5.552614317680655e-06
adam_N1024_s1_neighbor_moment9_266e89602b2a,100000,6.220427881812693e-06,6.2208031629792955e-06,1.5668024532987086e-06,1.4790027256479347e-05,1.5667079331158475e-06,1.4789135021419425e-05,3.1759591790015684e-07
gd_N512_s1_neighbor_mixed_901895534962,100000,6.302772440832326e-06,6.302772440832325e-06,6.300645473509721e-06,6.322206902710092e-06,6.300645473509723e-06,6.322206902710094e-06,6.281524148862243e-06
adam_N512_s1_neighbor_moment9_d13f5781559e,100000,6.308117298050097e-06,6.308497869557982e-06,2.8841720986371814e-06,1.6333443987776514e-05,2.8839981057553146e-06,1.6332458643319577e-05,8.363881914869448e-09
adam_N512_s1_individual_sine_db8963874583,100000,6.54051255471822e-06,6.54051255471822e-06,3.0479370564498786e-07,1.8949624243900506e-05,3.0479370564498786e-07,1.8949624243900506e-05,1.3434404807749987e-08
gd_N128_s0_neighbor_sine_c39669be4cf0,100000,6.737475159622633e-06,6.737475159622633e-06,6.714488740297256e-06,6.9750096138843085e-06,6.714488740297256e-06,6.9750096138843085e-06,6.4738253020315785e-06
adam_N512_s2_individual_mixed_54c29e857862,100000,6.848037354119053e-06,6.8480373541190514e-06,3.416746952774754e-08,2.0488158626507313e-05,3.416746952774755e-08,2.0488158626507313e-05,2.2706443401390342e-08
adam_N128_s0_individual_moment9_84cd3fa5e9f8,100000,6.880016558092772e-06,6.880431632536075e-06,6.69163495662279e-06,8.118597907205542e-06,6.691231271679352e-06,8.118108138149366e-06,5.462946172639089e-06
adam_N1024_s0_neighbor_mixed_2ea8d815d069,100000,6.8871118956965204e-06,6.88711189569652e-06,2.170597242549759e-07,1.8390621545608427e-05,2.1705972425497594e-07,1.839062154560843e-05,1.2462436596348771e-07
gd_N1024_s1_neighbor_mixed_2886f99b85ec,100000,6.896536893766941e-06,6.89653689376694e-06,6.8593674630192e-06,7.5118888450418105e-06,6.8593674630192015e-06,7.511888845041812e-06,6.181975011909134e-06
adam_N512_s1_individual_sine_065adc3e25f9,100000,6.966655811500294e-06,6.966655811500294e-06,9.96528985932845e-09,1.770269723700097e-05,9.96528985932845e-09,1.770269723700097e-05,7.354543107817712e-09
adam_N128_s0_individual_sine_a15ceb7a6631,100000,7.081784121234967e-06,7.081784121234967e-06,1.1361631682706171e-06,2.0273211020157806e-05,1.1361631682706171e-06,2.0273211020157806e-05,2.9466249909040137e-09
gd_N512_s0_neighbor_mixed_5eae6cc54127,100000,7.100452913687147e-06,7.100452913687144e-06,7.0473776663177785e-06,7.81765500575514e-06,7.04737766631778e-06,7.817655005755142e-06,6.2813907653695494e-06
gd_N512_s4_neighbor_moment3_3ec71b2cb9f3,100000,7.146700139433128e-06,7.146724518887614e-06,6.618547809355334e-06,8.872381232995041e-06,6.618525231657725e-06,8.872350966848099e-06,5.777747161642322e-06
gd_N512_s0_neighbor_mixed_8a00db1ed9d3,100000,7.175804581841299e-06,7.175804581841297e-06,7.172563505405003e-06,7.205343576734687e-06,7.172563505405004e-06,7.205343576734688e-06,7.143520165915655e-06
adam_N128_s1_individual_sine_3757cd261dcd,100000,7.203415538755235e-06,7.203415538755235e-06,1.523253269513912e-07,2.088356264710032e-05,1.523253269513912e-07,2.088356264710032e-05,3.55390837327428e-08
adam_N512_s4_individual_mixed_961c994cb869,100000,7.23154462023406e-06,7.2315446202340596e-06,2.906871521125051e-07,2.1164987258405076e-05,2.9068715211250515e-07,2.1164987258405082e-05,1.2538059806423932e-07
