bundle,target,seed,kappa,step,scaled_hessian_max,scaled_hessian_min,largest_mode_update_eigenvalue,readout_l2,top_mode_slope_fraction,top_mode_hidden_bias_fraction,top_mode_readout_fraction,top_mode_output_bias_fraction
core_N128_s3,sine,3,100.0,100000,0.6664491903974303,-0.0002925023634070968,0.33355080960256966,7.479457686737238,2.1588992670441043e-05,0.1485285231103274,0.551378885394141,0.3000710025028607
core_N128_s3,runge,3,1.0,100000,0.01037675177809165,-4.380822504355684e-05,0.9896232482219084,1.484462469725786,0.00030865342283074653,0.40010956625195016,0.406874820864065,0.19270695946115451
core_N128_s3,runge,3,100.0,100000,0.6914229440465902,-1.1595951601348928e-05,0.3085770559534098,6.231869211223272,0.0003935098500384056,0.09218438080754951,0.6184680119832919,0.2889540973591189
core_N128_s3,moment3,3,1.0,100000,0.009913251452414869,-2.1648008205918116e-05,0.9900867485475852,1.4633425902261628,2.3202369102721327e-05,0.4200407270102114,0.37818853291308907,0.2017475377075945
core_N128_s3,moment3,3,100.0,100000,1.077017418769337,-9.294337485838476e-06,-0.0770174187693371,19.798819539614872,2.686758774443179e-05,0.4805951043531316,0.33488717316920413,0.18449085488991956
core_N128_s3,moment5,3,1.0,100000,0.009649084729757701,-2.4109796943137e-07,0.9903509152702423,1.4185406800824867,2.5963575147513744e-05,0.4048537674864548,0.3878544779483696,0.20726579099003004
core_N128_s3,moment5,3,100.0,100000,0.5758032644716409,-5.222628627313121e-07,0.4241967355283591,1.4653652300496154,3.764899811359956e-07,0.007252261271202414,0.6454080467344478,0.3473393155043691
core_N128_s3,moment9,3,1.0,100000,0.009649843417845142,-4.7205055128908646e-08,0.9903501565821549,1.418622359594442,2.5927576410376143e-05,0.40487846980788544,0.38784610308109857,0.20724949953460567
core_N128_s3,moment9,3,100.0,100000,0.5758001662957436,-1.7169714850643445e-07,0.4241998337042564,1.4629450747418855,3.7363231348690674e-07,0.007228626044566123,0.6454298132102357,0.3473411871128844
core_N128_s3,sine,3,1.0,600000,0.013315763052287518,-1.0528038281077694e-05,0.9866842369477125,2.675111433896139,9.733838207744973e-05,0.581285855379307,0.268826657004802,0.14979014923381412
core_N128_s3,sine,3,100.0,600000,1.9999352892746254,-0.0013051705799684268,-0.9999352892746254,40.295304323992504,1.028336117003169e-05,0.7640196438321354,0.14248351406313225,0.09348655874356283
core_N128_s3,runge,3,1.0,600000,0.01086867855890315,-1.0105835723880106e-06,0.9891313214410968,2.2125352824584477,0.001187308295520851,0.4495640473944864,0.36713544861088654,0.1821131956991056
core_N128_s3,runge,3,100.0,600000,0.6695527370228855,-2.3393915642651216e-06,0.33044726297711446,9.564968316046416,0.0006941018277591974,0.08422492333895223,0.6241889349536542,0.2908920398796336
core_N128_s3,moment3,3,1.0,600000,0.07230922794481652,-1.6272351711359976e-05,0.9276907720551835,8.271578370725138,5.76717336340106e-05,0.9296779794369753,0.04462589182988445,0.025638456999507203
core_N128_s3,moment3,3,100.0,600000,1.9458377152173427,-3.4551507540434946e-07,-0.9458377152173427,32.60972752693737,0.017321250438373844,0.6706301001471013,0.21147873396503036,0.1005699154494943
core_N128_s3,moment5,3,1.0,600000,0.00964612758314172,-2.5830039348544075e-07,0.9903538724168582,1.4182719054187214,2.5327569054944134e-05,0.40479836348276443,0.3878453096064568,0.2073309993417238
core_N128_s3,moment5,3,100.0,600000,0.5758811505677249,-4.80560114945501e-07,0.42411884943227507,1.487896232224611,4.061791729463373e-07,0.007473569746606089,0.6452337680455195,0.34729225602870156
core_N128_s3,moment9,3,1.0,600000,0.00965069634457742,-4.254096079361235e-08,0.9903493036554226,1.4187565406399405,2.5127006848324434e-05,0.40494576730866433,0.387796337762364,0.20723276792212253
core_N128_s3,moment9,3,100.0,600000,0.5758172843911257,-5.9292521232484474e-08,0.42418271560887433,1.462888160637074,3.7937286328803625e-07,0.007227654767837198,0.6454411453935227,0.3473308204657769
core_N128_s4,sine,4,1.0,20000,0.009726362594646118,-3.027542289963983e-06,0.9902736374053539,1.3906333151212917,3.124604298122803e-05,0.3858881158078624,0.4084625556696407,0.20561808247951632
core_N128_s4,sine,4,100.0,20000,0.6025882813314991,-2.1170712550508403e-05,0.3974117186685009,1.515108329371476,5.626648005965357e-07,0.007399941533897585,0.6607080377327186,0.33189145806858356
core_N128_s4,runge,4,1.0,20000,0.009703583685316484,-1.4285890971634336e-05,0.9902964163146836,1.379350679370979,3.306565660620647e-05,0.3802479775624978,0.4136130335053443,0.2061059232755506
core_N128_s4,runge,4,100.0,20000,0.6666025048314455,-0.00017272683402558986,0.33339749516855455,4.521867814649145,3.159769263917925e-05,0.05670405778567111,0.6432394843580105,0.3000248601636788
core_N128_s4,moment3,4,1.0,20000,0.009943896433262003,-1.3554536641090651e-05,0.990056103566738,1.42539326724164,2.840775719393443e-05,0.39594722949334527,0.4028967666256025,0.20112759612385753
core_N128_s4,moment3,4,100.0,20000,0.6153448467562709,-0.00021371665605951373,0.3846551532437291,2.9763540365453443,1.9183847546086072e-06,0.02782357341959805,0.6471610213079846,0.32501348688766357
