bundle,target,seed,n,degree,kappa,count,last_step,last_gradient_absolute_error,last_gradient_relative_error,last_signed_change_actual,last_signed_change_reference,last_signed_change_absolute_error,last_slope_parameter_l2_error,last_signed_force_actual,last_signed_force_reference,last_residual_moment_l2_error,last_median_gamma_error,max_abs_gradient_absolute_error,max_abs_gradient_relative_error,max_abs_signed_change_actual,max_abs_signed_change_reference,max_abs_signed_change_absolute_error,max_abs_slope_parameter_l2_error,max_abs_signed_force_actual,max_abs_signed_force_reference,max_abs_residual_moment_l2_error,max_abs_median_gamma_error,first_gradient_error_above_5pct
core_N128_s7,runge,7,128,7,0.01,1019,19980,1.8558266451068217e-07,0.00011223009364259773,0.0008370332533160635,0.0008371189322802924,8.567896422895238e-08,5.861562595078271e-06,2.440566261237769e-05,2.4408545679111035e-05,6.818430738100356e-08,-9.969079728389119e-11,1.8558266451068217e-07,0.00011223009364259773,0.0008370332533160635,0.0008371189322802924,8.567896422895238e-08,5.861562595078271e-06,2.440566261237769e-05,2.4408545679111035e-05,6.818430738100356e-08,1.5574059983036737e-06,
core_N128_s7,runge,7,128,7,0.1,1019,19980,1.842091955852842e-07,0.0001111006405426424,0.0008078671742339921,0.0008079485950253928,8.142079140072145e-08,5.7805190011290825e-06,2.3756640653171336e-05,2.3759420554436654e-05,6.614981842743651e-08,-1.864015344854586e-09,1.842091955852842e-07,0.0001111006405426424,0.0008078671742339921,0.0008079485950253928,8.142079140072145e-08,5.7805190011290825e-06,2.3756640653171336e-05,2.3759420554436654e-05,6.614981842743651e-08,1.4331582142423915e-06,
core_N128_s7,runge,7,128,7,1.0,1019,19980,1.9325826519228712e-07,0.00011494866153347675,0.0007093080819094433,0.0007093764324831442,6.835057370091491e-08,5.681173365069129e-06,2.2346325601347112e-05,2.2348930418770288e-05,6.578296332297892e-08,-1.2894647953565208e-07,1.9325826519228712e-07,0.00011494866153347675,0.0007093080819094433,0.0007093764324831442,6.835057370091491e-08,5.681173365069129e-06,2.2346325601347112e-05,2.2348930418770288e-05,6.578296332297892e-08,1.2894647953565208e-07,
core_N128_s7,runge,7,128,7,10.0,1019,19980,4.799453820532373e-07,0.00023436834421200234,0.001024509171520499,0.0010246324665308532,1.232950103541297e-07,9.313980386283985e-06,4.15432067235524e-05,4.154966192154372e-05,1.966775834895591e-07,-2.100038221097833e-08,4.799453820532373e-07,0.00023436834421200234,0.001024509171520499,0.0010246324665308532,1.232950103541297e-07,9.313980386283985e-06,4.15432067235524e-05,4.154966192154372e-05,1.966775834895591e-07,6.182538087040612e-08,
core_N128_s7,runge,7,128,7,100.0,1019,19980,3.5633370601794054e-05,0.0024767725308852163,0.00569348006128384,0.005695576400829738,2.0963395458983847e-06,0.0002072238848837111,0.00031556028058354234,0.00031583232385346964,2.4423796459598773e-05,-2.8565569196170593e-07,3.5633370601794054e-05,0.0024767725308852163,0.00569348006128384,0.005695576400829738,2.0963395458983847e-06,0.0002072238848837111,0.00031556028058354234,0.00031583232385346964,2.4423796459598773e-05,2.8565569196170593e-07,
core_N128_s7,moment3,7,128,7,0.0001,1019,19980,5.734868908576613e-07,0.00029901224990738426,0.00227376620499925,0.002273443882040177,3.2232295907319575e-07,2.6623685339594478e-05,-4.0825815054295956e-05,-4.083309498032928e-05,2.008966665490547e-07,1.4742417628332838e-07,7.735171794055048e-07,0.0003295180361024143,0.003677062620514468,0.0036770029574845348,3.2232295907319575e-07,2.6623685339594478e-05,0.001539573633752119,0.0015395664890512045,2.6709210777430745e-07,1.4742417628332838e-07,
core_N128_s7,moment3,7,128,7,0.001,1019,19980,5.731922870455707e-07,0.0002989228485134488,0.002271615873670571,0.002271293790726339,3.220829442318607e-07,2.661369741024911e-05,-4.077954834702318e-05,-4.078682200427157e-05,2.0072546065829314e-07,1.4756027166829e-07,7.735171794055048e-07,0.00032948728056113796,0.0036746835705276093,0.003674623938756366,3.220829442318607e-07,2.661369741024911e-05,0.0015402191469248703,0.0015402120020050715,2.669132836155742e-07,1.4756027166829e-07,
core_N128_s7,moment3,7,128,7,0.01,1019,19980,5.702856518592382e-07,0.00029804011704000997,0.002251315216452901,0.002250984928748867,3.3028770403398244e-07,2.651518838536166e-05,-4.290311059754205e-05,-4.2910559278014655e-05,1.9904361326709833e-07,1.4888703712967466e-07,7.735171794055048e-07,0.00032919224152978046,0.0036507360645462866,0.0036506771162136825,3.3028770403398244e-07,2.651518838536166e-05,0.0015465605298263646,0.0015465533829061833,2.6515990213878263e-07,1.4888703712967466e-07,
core_N128_s7,moment3,7,128,7,0.1,1019,19980,5.445552806672763e-07,0.0002901171408223467,0.002084325674625284,0.0020840168100218354,3.088646034488107e-07,2.564291360715898e-05,-3.87526472217098e-05,-3.875953701319517e-05,1.8474156286519124e-07,3.957659961972837e-07,7.735171794055048e-07,0.00032712257300805464,0.0034616291075010575,0.003461576553769413,3.088646034488107e-07,2.564291360715898e-05,0.0015571408732301525,0.0015571336163851181,2.502062016902134e-07,3.957659961972837e-07,
core_N128_s7,moment3,7,128,7,1.0,1019,19980,4.251446906389684e-07,0.0002460397839960492,0.001065586928154394,0.0010653287011452572,2.5822700913669117e-07,2.121393871621283e-05,-3.272538132833553e-05,-3.2730708883864274e-05,1.2893282595727914e-07,5.890587290446891e-07,7.735171794055048e-07,0.0003211120089687558,0.0023403388892433846,0.002340312236792999,2.5822700913669117e-07,2.121393871621283e-05,0.001630938149168046,0.0016309315204955143,1.90723017030415e-07,5.890587290446891e-07,
