target,width,seed,policy,policy_label,fork_age,endpoint_age,pulse_updates,spacing,native_fine_path,intervention_fine_path,native_endpoint_rms,intervention_endpoint_rms,native_endpoint_bandwidth,intervention_endpoint_bandwidth,fine_path_ratio,slope_effect_percent
kink_abs,1409,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,0.4989682661718514,3.2830131328847885,0.38422117547185813,0.42657922079878574,0.0007504319833434729,0.0008331625406226284,6.579603063883174,11.024391166079827
mixed_sine,705,30,gain_only,Scalar amplification,130000,140000,10000,0.00390625,2.72857571368625,31.689767036047833,3.1222352938317512,3.2785505107628086,0.012196231616530278,0.012806837932667221,11.614032506811258,5.006516236616498
mixed_sine,705,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,2.72857571368625,20.97855589686707,3.1222352938317512,3.2920136890771277,0.012196231616530278,0.01285942847295753,7.6884639087128255,5.43771943071647
mixed_sine,705,31,gain_only,Scalar amplification,130000,140000,10000,0.00390625,2.0925770083438624,16.09805389338434,2.9140952879739626,3.0008645434939707,0.011383184718648291,0.011722127123023323,7.692932603768257,2.9775709764224834
mixed_sine,705,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,2.0925770083438624,12.98604792253109,2.9140952879739626,2.980811132457442,0.011383184718648291,0.011643793486161883,6.205768232543421,2.289418769482454
mixed_sine,1409,30,gain_only,Scalar amplification,130000,140000,10000,0.001953125,2.7712606939874087,25.04133918504294,1.5590724167172672,1.7953324851124244,0.0030450633139009124,0.003506508759985204,9.03608211214961,15.15388675098357
mixed_sine,1409,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,2.7712606939874087,22.861366532730536,1.5590724167172672,1.7721407773268896,0.0030450633139009124,0.003461212455716581,8.249446391792402,13.666354322286868
mixed_sine,1409,31,gain_only,Scalar amplification,130000,140000,10000,0.001953125,1.9812793315836166,12.635721817816165,1.7803897504948794,1.8097447823156325,0.0034773237314353112,0.0035346577779602198,6.377556973612883,1.6487980686584747
mixed_sine,1409,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,1.9812793315836166,109.64312853649437,1.7803897504948794,1.792082615965594,0.0034773237314353112,0.003500161359307801,55.33956105465337,0.6567587500132754
moment5,705,30,gain_only,Scalar amplification,130000,140000,10000,0.00390625,0.20080080487998903,1.812110857845376,0.6051734649108178,0.6191301728170953,0.002363958847307882,0.0024184772375667784,9.024420290189601,2.3062326284140955
moment5,705,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,0.20080080487998903,1.7317183040704336,0.6051734649108178,0.6194913321439554,0.002363958847307882,0.0024198880161873256,8.624060571397687,2.3659112739266464
moment5,705,31,gain_only,Scalar amplification,130000,140000,10000,0.00390625,0.22211532632226538,1.9755620802328129,0.6390341451656498,0.655455525661634,0.0024962271295533196,0.002560373147115758,8.894307803714929,2.569718788927533
moment5,705,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,0.22211532632226538,1.9967518721163247,0.6390341451656498,0.6558047155108017,0.0024962271295533196,0.002561737169964069,8.98970775757839,2.624362167815719
moment5,1409,30,gain_only,Scalar amplification,130000,140000,10000,0.001953125,0.25683313157340265,2.10398293240328,0.367974554818313,0.38028195913936885,0.0007187003023795175,0.0007427382014440798,8.192023044355413,3.3446346112525838
moment5,1409,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,0.25683313157340265,1.8963956163301419,0.367974554818313,0.38026087280322207,0.0007187003023795175,0.0007426970171937931,7.383765500628776,3.3389042323797247
moment5,1409,31,gain_only,Scalar amplification,130000,140000,10000,0.001953125,0.2337314358740186,1.9127696643075882,0.4092220311820751,0.4163405179997178,0.0007992617796524905,0.0008131650742181988,8.183621758686206,1.7395170042727726
moment5,1409,31,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.001953125,0.2337314358740186,1.8643438413751974,0.4092220311820751,0.41576032279628045,0.0007992617796524905,0.0008120318804614852,7.976436008291499,1.597736953535689
step_right,705,30,gain_only,Scalar amplification,130000,140000,10000,0.00390625,1.0609515688129305,17.11341503379934,0.8199576892153402,0.8199478846247871,0.0032029597234974226,0.0032029214243155745,16.130250934024318,-0.0011957434733589345
step_right,705,30,tracking_attenuated_variance,Tracking-attenuated denominator,130000,140000,10000,0.00390625,1.0609515688129305,44.65299830132182,0.8199576892153402,0.8177552707569224,0.0032029597234974226,0.0031943565263942283,42.087687707821416,-0.26860147631828646
step_right,705,31,gain_only,Scalar amplification,130000,140000,10000,0.00390625,1.1636032717099076,18.258848414104072,0.84538443268218,0.8433947201611316,0.0033022829401647656,0.0032945106256294203,15.691644100718976,-0.23536185954307065
