bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
core_N128_s0,128,0,5,moment5,moment9,0.1,73,99980,3.9481776405475566e-05,1.2851924850877898e-05,0.0025583601234490244,1.0482760789223224e-05,3.9481776405475566e-05,1.2851924850877898e-05,0.0025583601234490244,1.0482760789223224e-05
core_N128_s0,128,0,5,moment5,moment9,1.0,73,99980,3.674836963087069e-05,1.2116043732345557e-05,0.002414179636349866,7.371127985703559e-06,3.674836963087069e-05,1.2116043732345557e-05,0.002414179636349866,7.371127985703559e-06
core_N128_s0,128,0,5,moment5,moment9,10.0,73,99980,3.653881492678146e-05,1.1676082341858702e-05,0.0023280832211031144,4.07175435237985e-06,3.653881492678146e-05,1.1786602627073679e-05,0.0023280832211031144,4.072136374497831e-06
core_N128_s0,128,0,5,moment5,moment9,100.0,73,99980,3.690674684879436e-05,1.165756290271405e-05,0.0023197794799356976,3.3665600639505206e-06,3.690674684879436e-05,1.1880653103042462e-05,0.0023197794799356976,3.4011219484525616e-06
core_N128_s0,128,0,7,moment3,moment9,0.0001,73,99980,-0.002250955615962877,0.001705805882571159,0.3254526399742511,0.0024020032612404045,0.0023793451183594105,0.00270875782713194,0.3254526399742511,0.002709941880007673
core_N128_s0,128,0,7,moment3,moment9,0.001,73,99980,-0.0022479757500343256,0.0017066009309880472,0.3254724466292827,0.0024014085708063265,0.002376864602019038,0.00270875782713194,0.3254724466292827,0.002708921567989675
core_N128_s0,128,0,7,moment3,moment9,0.01,73,99980,-0.0022187083536232416,0.0017145557323311545,0.32567448081385714,0.0023955260887020442,0.0023524840562172827,0.00270875782713194,0.32567448081385714,0.0026990771159639483
core_N128_s0,128,0,7,moment3,moment9,0.1,73,99980,-0.001931373785443738,0.0017947247353877005,0.32803488877509995,0.0023431012885930277,0.002215116240927628,0.00270875782713194,0.32803488877509995,0.0026076274187102717
core_N128_s0,128,0,7,moment3,moment9,1.0,73,99980,-0.0004951085871644223,0.002860682288815251,0.36516098244277256,0.0022854317501563855,0.001827414665895019,0.002860682288815251,0.36516098244277256,0.0022854317501563855
core_N128_s0,128,0,7,moment3,moment9,10.0,73,99980,0.0308258574876525,0.0032328651180687433,1.4623136212042176,0.0015558819923768429,0.0308258574876525,0.017657571969022505,1.564778031124167,0.00408529169509331
core_N128_s0,128,0,7,moment3,moment9,100.0,73,99980,0.024097821881033585,0.0004351050492696499,1.123986523899397,6.511495845033115e-05,0.024097821881033585,0.14322892979014537,1.2551928721129983,0.009146770003502606
core_N128_s0,128,0,7,moment5,moment9,0.0001,73,99980,3.65401988472458e-05,1.1504482936547891e-05,0.002290095504740322,9.921333384199947e-06,3.65401988472458e-05,1.1504482936547891e-05,0.002290095504740322,9.921333384199947e-06
