campaign,optimizer,coordinates,eta,n,seed,key,step,completed_updates,failed_update,status,train_mse,validation_mse,advance_seconds,comparison_step,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_mean_mse,core_abs_lambda_median_at_100k,physical_readout_norm_at_100k
parameter_scale,adam,parameter_scale,0.03,512,0,adam_N512_s0_parameter_scale_eta0.03,100000,100000,,continuing,4.8539591709886165e-08,4.5195746583232366e-08,87.46577263902873,100000,True,0.0002484475760265388,0.00143420427703729,2.0841599859782868e-08,0.019965919855993094,0.0002401449697261759,0.4230217534354112,0.35323885807979066
parameter_scale,adam,parameter_scale,0.1,512,0,adam_N512_s0_parameter_scale_eta0.1,100000,100000,,continuing,1.1881545073062487e-07,1.1307383625374985e-07,87.71069443505257,100000,True,0.0024829296142775533,0.008820576113786942,3.53964631650972e-08,0.10379489784736398,0.0024675292165755435,0.7585606995315803,0.6714170075844337
parameter_scale,adam,parameter_scale,0.30000000000000004,512,0,adam_N512_s0_parameter_scale_eta0.3,100000,100000,,continuing,7.146233460017722e-05,7.128662730134402e-05,87.93502313550562,100000,True,0.023586545377599345,0.10826616018667612,7.141881168636721e-07,1.6034484324347464,0.023113361863670304,2.972597145533148,1.8526287231652003
parameter_scale,adam,parameter_scale,1e-05,512,0,adam_N512_s0_parameter_scale_eta1e-05,100000,100000,,continuing,0.5432025986255336,0.5430195665623672,86.25398464873433,100000,True,0.615149737240154,0.01763590487225835,0.5432140186636224,0.6298682602752814,0.6436532763356688,0.0008450138356462958,2.124845844093465
parameter_scale,adam,parameter_scale,3.0000000000000004e-05,512,0,adam_N512_s0_parameter_scale_eta3e-05,100000,100000,,continuing,0.20235810227221684,0.20214207064679704,86.37244718056172,100000,True,0.21102695400797866,0.0055291934787282835,0.20235884757605035,0.22218368105357567,0.2609869245034082,0.0009699808682216176,4.532282415364403
parameter_scale,adam,scaled,0.0001,512,0,adam_N512_s0_scaled_eta0.0001,100000,100000,,continuing,0.0010326916197412426,0.001032675420324612,89.55459885112941,100000,True,0.0012599102260884003,0.000175453254274826,0.001032701888930762,0.0025408410622608907,0.0019407960183011814,0.0019915539825942413,2.9177608919236047
parameter_scale,adam,scaled,0.00030000000000000003,512,0,adam_N512_s0_scaled_eta0.0003,100000,100000,,continuing,0.0015154797940890902,0.001515547692942765,89.75088838301599,100000,True,0.0011167837811459894,0.00098693911049221,0.0002290019630746837,0.012129932471777021,0.002924866137234495,0.0038909497740020403,3.1195814771537096
parameter_scale,adam,scaled,0.001,512,0,adam_N512_s0_scaled_eta0.001,2300000,2300000,,continuing,1.1366007014749675e-09,1.1303020206535236e-09,11.230325193144381,100000,True,1.7501363909870812e-06,4.888214886945999e-06,1.4373960053485372e-08,5.919647897255208e-05,2.0221992050215463e-06,0.029788409376585893,1.3642145377176949
parameter_scale,adam,scaled,0.003,512,0,adam_N512_s0_scaled_eta0.003,100000,100000,,continuing,3.683010028415223e-05,3.68341220616749e-05,90.18741497490555,100000,True,1.057939677339533e-05,2.6025700894223542e-05,9.864157046379006e-09,0.0002768344562999485,1.074196881470259e-05,0.08877753551316928,0.7468823587944329
parameter_scale,adam,scaled,0.01,512,0,adam_N512_s0_scaled_eta0.01,100000,100000,,continuing,1.096910885379069e-09,1.0825085869391657e-09,90.37045818846673,100000,True,0.00011913811172152504,0.0003655322311373765,8.008360664518656e-10,0.005078446673640691,0.00012105040549213184,0.2561627591826573,0.35255952207262864
parameter_scale,adam,scaled,0.03,512,0,adam_N512_s0_scaled_eta0.03,100000,100000,,continuing,1.9528951987253053e-05,1.953102336570813e-05,90.55901166703552,100000,True,0.0010819142912640912,0.0036199031261191306,2.0128013618899635e-09,0.052375073016326615,0.0010976147128681781,0.39292555726186157,0.37909803368233397
