n,seed,coordinates,eta,key,completed_updates,failed_update,eligible,window_mean_mse,window_std_mse,window_min_mse,window_max_mse,previous_20k_mse,half_window_ratio,zero_native_steps,zero_physical_steps,sign_crossings,endpoint_mse,validation_mse,lambda_core_abs_quantiles,lambda_halo_abs_quantiles,negative_slopes,mean_late_delta_c_rms,mean_late_delta_gamma_rms,physical_gamma_rate,physical_scaled_ordinary_readout_rate
512,0,scaled_differences,0.001,N512_s0_scaled_differences_eta0.001,100000,,True,0.0034864525091678894,0.0022314330920597133,0.0012349171045823175,0.014388208032517637,0.2047180217334198,0.4242297183337888,0,0,105274,0.0014925934238185572,0.0014919831474533597,"[3.058558076694541e-06, 0.0005889709783546937, 0.0021984200788046694, 0.008634273857246686, 0.058437739933583845]","[2.2352987955582376e-05, 0.00043650226831067214, 0.0013031828296451297, 0.004985151739629578, 0.008357134655740372]",320,2.6766035280437183e-05,0.020760256826653823,65.536,8.662986733781008e-06
512,0,scaled_differences,0.003,N512_s0_scaled_differences_eta0.003,616000,,True,0.00028681043285920353,0.00010945887757097865,0.0001663231550494429,0.0014108981114803409,0.0004694101016287064,0.7996007958116016,0,0,34676,0.00032268226306860214,0.00032207454334915006,"[1.0919716656169692e-05, 0.0009876366563737235, 0.004517878339942288, 0.013825043687645778, 0.05973869792669721]","[0.0002756403608237879, 0.0009201515452912463, 0.0019945935526470525, 0.004562007032964301, 0.08153374127023733]",272,2.1002099660380364e-05,0.00934870526897478,196.608,2.5988960201343023e-05
512,0,scaled_differences,0.01,N512_s0_scaled_differences_eta0.01,118,119,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.03,N512_s0_scaled_differences_eta0.03,84,85,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.1,N512_s0_scaled_differences_eta0.1,65,66,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,0.3,N512_s0_scaled_differences_eta0.3,54,55,False,,,,,,,,,,,,,,,,,,
512,0,scaled_differences,1e-05,N512_s0_scaled_differences_eta1e-05,100000,,True,0.5216307410905172,0.02207454211827127,0.48874572071962075,0.5658196274584962,0.6384781952504259,0.9300352885395093,0,0,265,0.48874326945164864,0.48861777933839856,"[2.0557490247126708e-05, 0.0003220254782390322, 0.0010673322275076276, 0.0014184265539618842, 0.06922100485464991]","[1.6596458043146664e-05, 0.00015564253546385332, 0.0014974452928329864, 0.006169927594452635, 0.006884820200891328]",243,7.126490333603502e-07,9.615629053280518e-06,0.65536,8.662986733781008e-08
512,0,scaled_differences,3e-05,N512_s0_scaled_differences_eta3e-05,100000,,True,0.3436879288653256,0.012625041006247804,0.32456102908524886,0.370152654512288,0.3912249848044107,0.9396052002074712,0,0,426,0.3245594710083391,0.32439514966982186,"[6.039133725950206e-06, 0.00030642484503456795, 0.001157896197870749, 0.0025480971783971313, 0.034540314758119056]","[1.1847959458113978e-05, 0.00046249419429199464, 0.0012279414543034343, 0.002361721953230308, 0.004583187051568602]",246,9.344202192782533e-07,1.853386440778615e-05,1.96608,2.5988960201343026e-07
512,0,scaled,0.0001,N512_s0_scaled_eta0.0001,100000,,True,0.796332654705697,0.002012745182846872,0.7928764733209288,0.7998487611992132,0.8034893501071643,0.9956319368924091,0,0,267,0.7928761335695204,0.7928843482111707,"[1.1753373443108398e-05, 0.0006007901866320757, 0.0006240985526368891, 0.0006928810149827881, 0.07890449704302908]","[0.00036023244138568906, 0.0006094304775835816, 0.0007192748667511257, 0.008182006065681306, 0.009028001338175424]",267,1.2850511016542328e-07,4.826448323067494e-06,6.5536,8.662986733781008e-07
512,0,scaled,0.0003,N512_s0_scaled_eta0.0003,100000,,True,0.7453310428915545,0.00401999550680311,0.7385029660535343,0.7524321607341041,0.7601428164722618,0.9907035209776744,0,0,297,0.7385023089975812,0.738465252339338,"[2.502633075020984e-07, 2.9622207882833078e-05, 8.203222199550246e-05, 0.00021059499470732894, 0.1355257707601895]","[5.806006683128115e-07, 2.582699365847607e-05, 0.00010634342191058681, 0.007790478576182092, 0.008504793543842915]",267,2.9089509642189117e-07,7.45893110839744e-06,19.6608,2.598896020134302e-06
