bundle,n,seed,degree,left,right,kappa,count,last_step,last_signed_mean_gamma_difference,last_slope_gradient_difference,last_slope_parameter_difference,last_coarse_residual_difference,max_abs_signed_mean_gamma_difference,max_abs_slope_gradient_difference,max_abs_slope_parameter_difference,max_abs_coarse_residual_difference
core_N64_s3,64,3,7,moment5,moment9,0.1,1019,19980,1.8362737047944444e-05,3.279861199996269e-05,0.0013022118026495514,3.139964883840339e-05,1.8362737047944444e-05,3.781895553603506e-05,0.0013022118026495514,3.139964883840339e-05
core_N64_s3,64,3,7,moment5,moment9,1.0,1019,19980,2.1924789300936665e-05,3.240201201970685e-05,0.0012927289189021707,2.1729063041290454e-05,2.1924789300936665e-05,3.781895553603506e-05,0.0012927289189021707,2.1729063041290454e-05
core_N64_s3,64,3,7,moment5,moment9,10.0,1019,19980,2.6880003273388464e-05,3.3789727490376735e-05,0.001346826664205724,1.2177943841376287e-05,2.6880003273388464e-05,3.781895553603506e-05,0.001346826664205724,1.217921572012287e-05
core_N64_s3,64,3,7,moment5,moment9,100.0,1019,19980,2.8245079507438486e-05,3.4749655263134885e-05,0.0013742208524841124,1.0182545459421464e-05,2.8245079507438486e-05,3.781895553603506e-05,0.0013742208524841124,1.025832391787745e-05
core_N64_s4,64,4,0,moment3,moment9,0.0001,1019,19980,-0.004739368724095694,0.003382918935141537,0.15582652681266002,0.004312670338116756,0.004739368724095694,0.004448977960497873,0.15582652681266002,0.004900898415783418
core_N64_s4,64,4,0,moment3,moment9,0.001,1019,19980,-0.004736137063419854,0.0033825014137518184,0.1558206442779749,0.004311685328036188,0.004736137063419854,0.004449130599099849,0.1558206442779749,0.004900193636786159
core_N64_s4,64,4,0,moment3,moment9,0.01,1019,19980,-0.004704261728271125,0.00337835042606304,0.15576104762221052,0.004301778721009203,0.004704261728271125,0.004450624263039183,0.15576104762221052,0.004893048198484918
core_N64_s4,64,4,0,moment3,moment9,0.1,1019,19980,-0.004406560773276322,0.00333920159014909,0.15510487514825738,0.004199313164382198,0.004406560773276322,0.004461340619366224,0.15510487514825738,0.004814064506061815
core_N64_s4,64,4,0,moment3,moment9,1.0,1019,19980,-0.002912202313812298,0.0031035868762762583,0.1484069250182246,0.0034134732586201875,0.002912202313812298,0.004424077262931189,0.1484069250182246,0.0040769325182521375
core_N64_s4,64,4,0,moment3,moment9,10.0,1019,19980,-0.003398416210659269,0.0028324537933661223,0.13099444503035776,0.0024680296190089726,0.003398416210659269,0.004338420077577167,0.13099444503035776,0.0028714595904595222
core_N64_s4,64,4,0,moment3,moment9,100.0,1019,19980,0.027623574871902173,0.2597121563207463,0.9450623933629276,0.019988270063247604,0.027623574871902173,0.2597121563207463,0.9450623933629276,0.019988270063247604
core_N64_s4,64,4,0,moment5,moment9,0.0001,1019,19980,7.080492822986173e-05,7.090029613963181e-05,0.0027223809544606975,4.626689913182235e-05,7.080492822986173e-05,7.090029613963181e-05,0.0027223809544606975,4.626689913182235e-05
core_N64_s4,64,4,0,moment5,moment9,0.001,1019,19980,7.075718068581816e-05,7.088742276781659e-05,0.00272199063328033,4.6245814733770157e-05,7.075718068581816e-05,7.088742276781659e-05,0.00272199063328033,4.6245814733770157e-05
core_N64_s4,64,4,0,moment5,moment9,0.01,1019,19980,7.028536434401655e-05,7.075820508473147e-05,0.0027180560366452562,4.603531699835995e-05,7.028536434401655e-05,7.075820508473147e-05,0.0027180560366452562,4.603531699835995e-05
core_N64_s4,64,4,0,moment5,moment9,0.1,1019,19980,6.608175148710427e-05,6.943577343534851e-05,0.0026763934927558396,4.397693464584982e-05,6.608175148710427e-05,6.943577343534851e-05,0.0026763934927558396,4.397693464584982e-05
core_N64_s4,64,4,0,moment5,moment9,1.0,1019,19980,5.3647483748767155e-05,5.8859867583906626e-05,0.0023068567371327823,3.015081651593612e-05,5.3647483748767155e-05,5.8859867583906626e-05,0.0023068567371327823,3.015081651593612e-05
core_N64_s4,64,4,0,moment5,moment9,10.0,1019,19980,4.945664777658565e-05,4.32208307833152e-05,0.0017161812079613769,1.3795084506823645e-05,4.945664777658565e-05,4.32208307833152e-05,0.0017161812079613769,1.3795084506823645e-05
core_N64_s4,64,4,0,moment5,moment9,100.0,1019,19980,4.7115259828381384e-05,4.020118696894307e-05,0.0015901231057014892,1.0725400052985862e-05,4.7115259828381384e-05,4.020118696894307e-05,0.0015901231057014892,1.0823209931024465e-05
core_N64_s4,64,4,1,moment3,moment9,0.0001,1019,19980,1.3877787807814457e-17,2.524354896707238e-29,4.682821681713425e-16,0.0,4.163336342344337e-17,1.173330908961799e-16,4.697514583731547e-16,1.6653345369377348e-16
core_N64_s4,64,4,1,moment3,moment9,0.001,1019,19980,0.0,3.911341314539452e-17,4.876123785832381e-16,4.807407289046552e-17,4.163336342344337e-17,1.5645365215070703e-16,5.010348694993812e-16,1.9229629156186207e-16
core_N64_s4,64,4,1,moment3,moment9,0.01,1019,19980,-1.3877787807814457e-17,7.827388431104014e-17,5.373703230430646e-16,9.614814578093104e-17,4.163336342344337e-17,8.395856093217641e-17,5.41876219442213e-16,1.7333351575345718e-16
core_N64_s4,64,4,1,moment3,moment9,0.1,1019,19980,0.0,3.934631264931212e-17,4.726795205444679e-16,7.3434354326142e-17,4.163336342344337e-17,1.5738525059782058e-16,4.727431802288745e-16,1.9229629156186207e-16
core_N64_s4,64,4,1,moment3,moment9,1.0,1019,19980,0.0,8.071643231814225e-17,4.365535974852879e-16,9.614814578093104e-17,4.163336342344337e-17,1.6143286463628419e-16,4.365535974852879e-16,1.9229629156186207e-16
core_N64_s4,64,4,1,moment3,moment9,10.0,1019,19980,0.0,4.1492282929363764e-17,1.641497843656482e-16,7.3434354326142e-17,4.163336342344337e-17,8.436047447526478e-17,1.641497843656482e-16,1.7333351575345718e-16
core_N64_s4,64,4,1,moment3,moment9,100.0,1019,19980,0.0,4.175715899428837e-17,3.62545274871353e-17,7.3434354326142e-17,0.0,8.674667637152684e-17,3.62545274871353e-17,1.2098375150554763e-16
core_N64_s4,64,4,1,moment5,moment9,0.0001,1019,19980,1.3877787807814457e-17,3.911103029850405e-17,5.403413019749197e-16,7.3434354326142e-17,4.163336342344337e-17,1.623963765072443e-16,5.428305670668275e-16,2.2204462477736986e-16
core_N64_s4,64,4,1,moment5,moment9,0.001,1019,19980,0.0,3.9113413145393926e-17,4.71041313444953e-16,4.807407289046552e-17,4.163336342344337e-17,1.6295987855249688e-16,4.750292471420531e-16,2.2204462477736986e-16
core_N64_s4,64,4,1,moment5,moment9,0.01,1019,19980,-1.3877787807814457e-17,3.913694215552058e-17,4.624274661545633e-16,4.807407289046552e-17,4.163336342344337e-17,1.6439745242852334e-16,5.212670858725327e-16,2.2204462477736986e-16
core_N64_s4,64,4,1,moment5,moment9,0.1,1019,19980,0.0,3.934631264930946e-17,5.109106686166464e-16,7.3434354326142e-17,4.163336342344337e-17,1.616298547996673e-16,5.109106686166464e-16,2.2204462477736986e-16
core_N64_s4,64,4,1,moment5,moment9,1.0,1019,19980,0.0,4.0358216159071034e-17,4.84113170161259e-16,1.2098375150554763e-16,4.163336342344337e-17,1.6275756143582832e-16,4.84113170161259e-16,2.5438406975992203e-16
core_N64_s4,64,4,1,moment5,moment9,10.0,1019,19980,0.0,4.422614544048162e-31,1.7699759027607924e-16,0.0,4.163336342344337e-17,1.622517245004419e-16,1.7702521593416476e-16,2.2204462477736986e-16
core_N64_s4,64,4,1,moment5,moment9,100.0,1019,19980,0.0,8.351431798857674e-17,5.451629001565501e-17,1.1102231238868493e-16,0.0,1.5873478876673267e-16,5.45270970266867e-17,2.2204462477736986e-16
core_N64_s4,64,4,3,moment3,moment9,0.0001,1019,19980,-0.005148887202496191,0.0036583375677543867,0.17293979059415307,0.004706080734174066,0.005148887202496191,0.005052054924272913,0.17293979059415307,0.005440058393452254
core_N64_s4,64,4,3,moment3,moment9,0.001,1019,19980,-0.005144870731560738,0.0036578938558826397,0.1729333523300801,0.0047050074038941115,0.005144870731560738,0.005052305578252536,0.1729333523300801,0.005439310518619847
core_N64_s4,64,4,3,moment3,moment9,0.01,1019,19980,-0.0051052365174546754,0.0036534873774705,0.1728678227476033,0.004694201784709351,0.0051052365174546754,0.005054722757794116,0.1728678227476033,0.005431692545562647
core_N64_s4,64,4,3,moment3,moment9,0.1,1019,19980,-0.004757228334003077,0.003612335699918033,0.17212407784698963,0.004581691663245102,0.004757228334003077,0.005072272930194988,0.17212407784698963,0.005345519177926827
core_N64_s4,64,4,3,moment3,moment9,1.0,1019,19980,-0.0029844630246919635,0.0033726665222031608,0.16424520340663878,0.003722908000359419,0.0029844630246919635,0.005030838878553838,0.16424520340663878,0.004515444528750951
core_N64_s4,64,4,3,moment3,moment9,10.0,1019,19980,-0.0032711040409194314,0.0036103855605564114,0.14764257814258128,0.002807514608666217,0.0032711040409194314,0.004971189653648879,0.14764257814258128,0.003177497455878012
core_N64_s4,64,4,3,moment3,moment9,100.0,1019,19980,0.023079127251320122,8.459932928528175e-06,1.1465638415848038,4.58669729381681e-06,0.023079127251320122,0.4737618922623319,1.146566496350132,0.025209520690372137
core_N64_s4,64,4,3,moment5,moment9,0.0001,1019,19980,0.0,8.60384902271362e-18,6.200174476825378e-16,5.551115123125783e-17,5.551115123125783e-17,1.6338117344760596e-16,6.329970071267773e-16,2.2204462477736986e-16
core_N64_s4,64,4,3,moment5,moment9,0.001,1019,19980,-2.7755575615628914e-17,4.1466696129919324e-17,6.773451007584091e-16,7.3434354326142e-17,4.163336342344337e-17,1.6150307732187452e-16,6.859910193538812e-16,2.2204462477736986e-16
core_N64_s4,64,4,3,moment5,moment9,0.01,1019,19980,0.0,7.990229266978392e-17,5.294751456359888e-16,9.614814578093104e-17,4.163336342344337e-17,1.592033033858137e-16,5.409723408647772e-16,2.2204462477736986e-16
core_N64_s4,64,4,3,moment5,moment9,0.1,1019,19980,-2.7755575615628914e-17,8.750125167698353e-18,6.027664857347633e-16,0.0,5.551115123125783e-17,1.6472784952353167e-16,6.027664857347633e-16,2.2204462477736986e-16
core_N64_s4,64,4,3,moment5,moment9,1.0,1019,19980,0.0,7.583307775288266e-17,5.866851388008551e-16,1.1102231238868493e-16,4.163336342344337e-17,1.9369207329688872e-16,5.867372706891862e-16,2.6477134239003867e-16
core_N64_s4,64,4,3,moment5,moment9,10.0,1019,19980,1.3877787807814457e-17,7.397959399680225e-18,5.041478080648598e-16,5.551115123125783e-17,4.163336342344337e-17,1.620163001224902e-16,5.15692508957071e-16,2.271891790129781e-16
core_N64_s4,64,4,3,moment5,moment9,100.0,1019,19980,0.0,4.2285282058591855e-17,5.330007158375284e-16,4.807407289046552e-17,4.163336342344337e-17,1.5985235920078388e-16,5.360984087730913e-16,2.2204462477736986e-16
core_N64_s4,64,4,5,moment3,moment9,0.0001,1019,19980,-0.004668158197549066,0.0033372939240574454,0.15331266059351514,0.004268421388902211,0.004668158197549066,0.004367172459268348,0.15331266059351514,0.004840286274460014
core_N64_s4,64,4,5,moment3,moment9,0.001,1019,19980,-0.004665045378897115,0.0033368916536974896,0.15330702548700736,0.0042674584122323125,0.004665045378897115,0.004367317897274004,0.15330702548700736,0.004839594283096877
core_N64_s4,64,4,5,moment3,moment9,0.01,1019,19980,-0.004634345637054754,0.0033328933384110197,0.1532500335810617,0.0042577726970559615,0.004634345637054754,0.0043687198708242695,0.1532500335810617,0.004832580731358062
core_N64_s4,64,4,5,moment3,moment9,0.1,1019,19980,-0.004345051880027304,0.0032952453152099654,0.1526294899958666,0.004157517551457792,0.004345051880027304,0.004379054632375192,0.1526294899958666,0.004755177736339683
core_N64_s4,64,4,5,moment3,moment9,1.0,1019,19980,-0.0028941819561934395,0.0030679902668381788,0.1463308371601913,0.003384576188561448,0.0028941819561934395,0.004348835447465898,0.1463308371601913,0.004033221742810749
core_N64_s4,64,4,5,moment3,moment9,10.0,1019,19980,-0.00340663671998033,0.0027703122550733,0.1292604624414304,0.002441005638772225,0.00340663671998033,0.004271824659379423,0.1292604624414304,0.0028456233480840458
core_N64_s4,64,4,5,moment3,moment9,100.0,1019,19980,0.02040620406702992,0.14386446784413118,0.7033329996189975,0.014022773715325391,0.02040620406702992,0.14386446784413118,0.7033329996189975,0.014022773715325391
core_N64_s4,64,4,5,moment5,moment9,0.0001,1019,19980,8.92277429633409e-05,9.136233568410776e-05,0.003500150767553014,5.798194888386824e-05,8.92277429633409e-05,9.136233568410776e-05,0.003500150767553014,5.798194888386824e-05
core_N64_s4,64,4,5,moment5,moment9,0.001,1019,19980,8.91645749491049e-05,9.134887534156453e-05,0.0034997607310211284,5.795680977912708e-05,8.91645749491049e-05,9.134887534156453e-05,0.0034997607310211284,5.795680977912708e-05
core_N64_s4,64,4,5,moment5,moment9,0.01,1019,19980,8.853986838944228e-05,9.121255150587751e-05,0.003495780525354396,5.770513308186429e-05,8.853986838944228e-05,9.121255150587751e-05,0.003495780525354396,5.770513308186429e-05
core_N64_s4,64,4,5,moment5,moment9,0.1,1019,19980,8.293619781582495e-05,8.972060697001516e-05,0.003449764417147818,5.519119646543122e-05,8.293619781582495e-05,8.972060697001516e-05,0.003449764417147818,5.519119646543122e-05
core_N64_s4,64,4,5,moment5,moment9,1.0,1019,19980,6.533529539407001e-05,7.587933221360057e-05,0.0029658324332422262,3.7550079461831474e-05,6.533529539407001e-05,7.587933221360057e-05,0.0029658324332422262,3.7550079461831474e-05
core_N64_s4,64,4,5,moment5,moment9,10.0,1019,19980,5.817754988962642e-05,5.431866158930846e-05,0.0021525694950442244,1.693163643126175e-05,5.817754988962642e-05,5.431866158930846e-05,0.0021525694950442244,1.693163643126175e-05
core_N64_s4,64,4,5,moment5,moment9,100.0,1019,19980,5.5222099425641935e-05,5.005888904953931e-05,0.001976196880598176,1.3152524174731244e-05,5.5222099425641935e-05,5.005888904953931e-05,0.001976196880598176,1.3324792235940297e-05
core_N64_s4,64,4,7,moment3,moment9,0.0001,1019,19980,-0.004749351377069055,0.003388534888641172,0.15618022740563076,0.004316970740444769,0.004749351377069055,0.0044614168672174334,0.15618022740563076,0.0049079691296945345
core_N64_s4,64,4,7,moment3,moment9,0.001,1019,19980,-0.004746103478692226,0.0033881129392992425,0.15617420359015485,0.004315981539779034,0.004746103478692226,0.004461567924556794,0.15617420359015485,0.0049072605817153956
core_N64_s4,64,4,7,moment3,moment9,0.01,1019,19980,-0.004714067713269127,0.0033839180728260547,0.15611318591679885,0.004306033432413973,0.004714067713269127,0.004463052359458009,0.15611318591679885,0.004900085186561622
core_N64_s4,64,4,7,moment3,moment9,0.1,1019,19980,-0.004415164636026536,0.003344371789609785,0.15544246572159304,0.004203191960941849,0.004415164636026536,0.004473589019265329,0.15544246572159304,0.004820778058113517
core_N64_s4,64,4,7,moment3,moment9,1.0,1019,19980,-0.002914975218700544,0.0031071463875881403,0.14865036072877283,0.0034157516859435874,0.002914975218700544,0.004433956462975649,0.14865036072877283,0.004081313327401268
core_N64_s4,64,4,7,moment3,moment9,10.0,1019,19980,-0.0033971791269473695,0.0028392244482984942,0.13117196928815414,0.002470339952937556,0.0033971791269473695,0.00434513508310592,0.13117196928815414,0.0028735438667965
core_N64_s4,64,4,7,moment3,moment9,100.0,1019,19980,0.03144768115505048,0.478336913528588,1.1200345316369138,0.01980706882671411,0.03144768115505048,0.478336913528588,1.1200345316369138,0.022326270547340397
core_N64_s4,64,4,7,moment5,moment9,0.0001,1019,19980,6.692036484916286e-05,6.794991255627201e-05,0.00260895730964433,4.4089161147344517e-05,6.692036484916286e-05,6.794991255627201e-05,0.00260895730964433,4.4089161147344517e-05
core_N64_s4,64,4,7,moment5,moment9,0.001,1019,19980,6.68764863666349e-05,6.793648435773756e-05,0.0026085421965697042,4.4069130258740115e-05,6.68764863666349e-05,6.793648435773756e-05,0.0026085421965697042,4.4069130258740115e-05
core_N64_s4,64,4,7,moment5,moment9,0.01,1019,19980,6.644301054452295e-05,6.780205876550108e-05,0.002604373021584388,4.386927752069134e-05,6.644301054452295e-05,6.780205876550108e-05,0.002604373021584388,4.386927752069134e-05
core_N64_s4,64,4,7,moment5,moment9,0.1,1019,19980,6.258885158806626e-05,6.645585368082452e-05,0.002561480304829363,4.1924085414229225e-05,6.258885158806626e-05,6.645585368082452e-05,0.002561480304829363,4.1924085414229225e-05
core_N64_s4,64,4,7,moment5,moment9,1.0,1019,19980,5.15266100088313e-05,5.632622761302449e-05,0.002207788424616183,2.89313839862961e-05,5.15266100088313e-05,5.632622761302449e-05,0.002207788424616183,2.89313839862961e-05
core_N64_s4,64,4,7,moment5,moment9,10.0,1019,19980,4.825065369574999e-05,4.171767019306599e-05,0.001656636781644193,1.3366363280431025e-05,4.825065369574999e-05,4.171767019306599e-05,0.001656636781644193,1.3366363280431025e-05
core_N64_s4,64,4,7,moment5,moment9,100.0,1019,19980,4.608645111836562e-05,3.893951531997052e-05,0.0015398855317378646,1.0408516254572084e-05,4.608645111836562e-05,3.893951531997052e-05,0.0015398855317378646,1.0489485443046025e-05
core_N128_s0,128,0,0,moment3,moment9,0.0001,1019,19980,-0.0010389246749003822,0.0017829745689562958,0.07553379493139435,0.0025934797554262056,0.0010389246749003822,0.002708396217984387,0.07553379493139435,0.00271019005313663
core_N128_s0,128,0,0,moment3,moment9,0.001,1019,19980,-0.001038716187213573,0.001782884438443167,0.07553186827367046,0.002592484429492406,0.001038716187213573,0.002708396217984387,0.07553186827367046,0.0027091844915307127
core_N128_s0,128,0,0,moment3,moment9,0.01,1019,19980,-0.0010366907901722539,0.0017820121543848783,0.07551337230395215,0.0025826140902155573,0.0010366907901722539,0.002708396217984387,0.07551337230395215,0.0026992131678396022
core_N128_s0,128,0,0,moment3,moment9,0.1,1019,19980,-0.001026449664148027,0.0017757737884386087,0.07539412317019253,0.002491517130615749,0.001026449664148027,0.002708396217984387,0.07539412317019253,0.002607313895996192
core_N128_s0,128,0,0,moment3,moment9,1.0,1019,19980,-0.0010666376333303002,0.001793983177650915,0.0762508286297554,0.00199271618612896,0.0010666376333303002,0.002708396217984387,0.0762508286297554,0.0021031967717763133
core_N128_s0,128,0,0,moment3,moment9,10.0,1019,19980,-0.001009891750795619,0.0019524655708487019,0.07961578638330905,0.0014455133471561288,0.001009891750795619,0.002708396217984387,0.07961578638330905,0.0015138297103403004
core_N128_s0,128,0,0,moment3,moment9,100.0,1019,19980,0.0009401139257916302,0.0074495207478416595,0.11971755478195945,0.0016310311437602843,0.0009401139257916302,0.0074495207478416595,0.11971755478195945,0.0016310311437602843
core_N128_s0,128,0,0,moment5,moment9,0.0001,1019,19980,7.311507066065648e-06,1.1576266472338916e-05,0.0004563527052323542,9.995784342667141e-06,7.311507066065648e-06,1.1576266472338916e-05,0.0004563527052323542,9.995784342667141e-06
core_N128_s0,128,0,0,moment5,moment9,0.001,1019,19980,7.308936668740107e-06,1.157469123239545e-05,0.0004563029510313515,9.989813926639822e-06,7.308936668740107e-06,1.157469123239545e-05,0.0004563029510313515,9.989813926639822e-06
core_N128_s0,128,0,0,moment5,moment9,0.01,1019,19980,7.283693390217061e-06,1.1559190364349703e-05,0.00045581301411567137,9.930717111174876e-06,7.283693390217061e-06,1.1559190364349703e-05,0.00045581301411567137,9.930717111174876e-06
core_N128_s0,128,0,0,moment5,moment9,0.1,1019,19980,7.310957930481421e-06,1.1425478347827028e-05,0.0004515580062139913,9.393799647242327e-06,7.310957930481421e-06,1.1425478347827028e-05,0.0004515580062139913,9.393799647242327e-06
