bundle,target,n,seed,degree,kappa,actual_contrast,predicted_contrast,contrast_error
refine_N128_s0,sine,128,0,3,10.0,0.0010059103785447637,0.0010145572008330161,8.64682228825242e-06
refine_N128_s0,sine,128,0,3,100.0,0.0013065052745784567,0.0013360430915278776,2.9537816949420925e-05
refine_N128_s0,runge,128,0,3,0.0001,-0.0012745932749742839,-0.0012619501640556002,1.2643110918683642e-05
refine_N128_s0,runge,128,0,3,0.001,-0.0012725854862103703,-0.001259962989745067,1.2622496465303223e-05
refine_N128_s0,runge,128,0,3,0.01,-0.0012527187978550597,-0.001240303320967917,1.2415476887142618e-05
refine_N128_s0,runge,128,0,3,0.1,-0.0010557891344378512,-0.0010451453962811302,1.0643738156720928e-05
refine_N128_s0,runge,128,0,3,1.0,0.0,0.0,0.0
refine_N128_s0,runge,128,0,3,10.0,0.0016294247500711206,0.0016672536054424814,3.7828855371360715e-05
refine_N128_s0,runge,128,0,3,100.0,0.007423094405875588,0.008298908900025118,0.0008758144941495294
refine_N128_s0,moment3,128,0,3,0.0001,0.0014834902056299198,0.00147507917332107,-8.411032308849875e-06
refine_N128_s0,moment3,128,0,3,0.001,0.0014811371250098015,0.0014727759521962064,-8.361172813595164e-06
refine_N128_s0,moment3,128,0,3,0.01,0.0014577578452913825,0.0014498858139160992,-7.872031375283361e-06
refine_N128_s0,moment3,128,0,3,0.1,0.001238012917363293,0.0012342299525976153,-3.7829647656778542e-06
refine_N128_s0,moment3,128,0,3,1.0,0.0,0.0,0.0
refine_N128_s0,moment3,128,0,3,10.0,-0.0014906522370731201,-0.001458939947356755,3.1712289716365194e-05
refine_N128_s0,moment3,128,0,3,100.0,0.00011192455097112919,0.0006445900765748858,0.0005326655256037566
refine_N128_s0,moment5,128,0,3,0.0001,0.0014562934565780228,0.0014558740792767894,-4.1937730123342565e-07
refine_N128_s0,moment5,128,0,3,0.001,0.0014537286750389983,0.0014533139089620006,-4.1476607699764134e-07
refine_N128_s0,moment5,128,0,3,0.01,0.0014282924480470693,0.0014279227083235924,-3.697397234769806e-07
refine_N128_s0,moment5,128,0,3,0.1,0.0011982823103776075,0.0011978818792279244,-4.004311496830226e-07
refine_N128_s0,moment5,128,0,3,1.0,0.0,0.0,0.0
