bundle,target,seed,n,degree,kappa,count,last_step,last_loss_discrepancy,last_sample_gradient_error,last_fraction_preactivation_above_radius,last_coarse_discrete_derivative_error,last_tanh_at_reference_slope_gradient_defect,max_abs_loss_discrepancy,max_abs_sample_gradient_error,max_abs_fraction_preactivation_above_radius,max_abs_coarse_discrete_derivative_error,pointwise_p2_checks,pointwise_p2_violations,pointwise_p2_max_error_bound_ratio,pointwise_p4_checks,pointwise_p4_violations,pointwise_p4_max_error_bound_ratio,pointwise_p6_checks,pointwise_p6_violations,pointwise_p6_max_error_bound_ratio,pointwise_p8_checks,pointwise_p8_violations,pointwise_p8_max_error_bound_ratio,max_abs_tanh_at_reference_slope_gradient_defect
refine_N128_s0,runge,0,128,0,100.0,72,39980,3.469446951953614e-18,4.1434018046951553e-16,0.0,1.2359150938603715e-06,,6.938893903907228e-18,1.7014754525305098e-15,0.0,0.01647438477240899,72,0,0.1383913425305185,72,0,0.07588094354579722,72,0,0.04799118912146231,72,0,0.03283557397249284,
refine_N128_s0,moment3,0,128,0,0.0001,72,39980,5.551115123125783e-17,3.7725428649085076e-16,0.0,1.1791926354413102e-11,,1.1102230246251565e-16,1.2290115396379615e-15,0.0,2.7382887037610963e-06,72,0,0.1483700446746149,72,0,0.11619291531681611,72,0,0.0872654322577592,72,0,0.06596900866445135,
refine_N128_s0,moment3,0,128,0,0.001,72,39980,0.0,3.291145841539147e-16,0.0,1.1702330757439663e-11,,2.220446049250313e-16,1.3678381999529325e-15,0.0,2.6570861018778144e-06,72,0,0.14837416677750395,72,0,0.11619721976385296,72,0,0.0872700904313603,72,0,0.06597362790078025,
refine_N128_s0,moment3,0,128,0,0.01,72,39980,0.0,3.604771706134382e-16,0.0,1.2979265860997506e-11,,1.1102230246251565e-16,1.2355378779357503e-15,0.0,1.9708461173795793e-06,72,0,0.14841393342074405,72,0,0.11623912112113166,72,0,0.08731579755341426,72,0,0.06601971869277996,
refine_N128_s0,moment3,0,128,0,0.1,72,39980,-1.1102230246251565e-16,3.491032084152827e-16,0.0,2.1684276963085715e-11,,1.1102230246251565e-16,1.279074191294534e-15,0.0,9.62587855640351e-06,72,0,0.14888785454919432,72,0,0.11659530415384597,72,0,0.08769240671950806,72,0,0.06646101226490224,
refine_N128_s0,moment3,0,128,0,1.0,72,39980,-5.551115123125783e-17,3.5842119697341177e-16,0.0,6.018855641745853e-11,,1.1102230246251565e-16,1.2298586675316208e-15,0.0,0.00011416475935806648,72,0,0.15124766428309336,72,0,0.1184448998822235,72,0,0.0895156832076312,72,0,0.06838292225634228,
refine_N128_s0,moment3,0,128,0,10.0,72,39980,5.551115123125783e-17,3.562899967622234e-16,0.0,1.0204631213399435e-09,,1.1102230246251565e-16,1.0943021771045066e-15,0.0,0.0011609319994337482,72,0,0.15363282988562266,72,0,0.12018910374302913,72,0,0.09087172654216226,72,0,0.06953475733067248,
refine_N128_s0,moment3,0,128,0,100.0,72,39980,0.0,6.262769247577176e-16,0.0,2.2636411809392066e-07,,1.1102230246251565e-16,1.0837562633408314e-15,0.0,0.011628717687644653,72,0,0.15511865254302049,72,0,0.12118407526112022,72,0,0.091561834440405,72,0,0.07002242590195505,
refine_N128_s0,moment5,0,128,0,0.0001,72,39980,0.0,2.1107375078827605e-16,0.0,8.724221394611655e-14,,1.1102230246251565e-16,1.4298890595817976e-15,0.0,2.729472000271244e-06,72,0,0.04017776314573118,72,0,0.04184695398195886,72,0,0.040916082707938735,72,0,0.037037803207082304,
refine_N128_s0,moment5,0,128,0,0.001,72,39980,0.0,2.0433156035772429e-16,0.0,1.676883944931661e-13,,2.220446049250313e-16,1.4654463539371255e-15,0.0,2.6485013414944028e-06,72,0,0.04017776314573118,72,0,0.041848899359877526,72,0,0.04091853473483627,72,0,0.037040541341065665,
